filename,spectral_centroid,rmse,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,label
clap,(1).wav,2051.5720805048963,0.008992379238149275,4060.9663529829545,0.13409978693181818,-605.5366103580797,56.630990709436446,-23.34039451505106,11.531782089614454,-11.342087555407861,7.796703795487417,-12.40510806993821,2.6488388998781938,0.43200947555017777,1.4993649279183043,-1.8808580007075257,-1.5276893553343824,0.6257781269682505,clap
clap,(10).wav,2058.2141635596017,0.005593139378609664,4190.654962713068,0.11390904017857142,-658.6754361421501,32.36211945517719,-18.051733881535053,10.146357853018769,-5.399427269172224,10.915432706600027,-5.938106431330834,4.143925430202538,-2.083302857440314,-0.2792179869983702,-1.5155525080523815,-3.0995553632239856,-1.4326914237873245,clap
clap,(100).wav,2843.4812497152147,0.00281982358737089,5076.793351958069,0.1365518690664557,-686.3914176764174,19.337809227977527,11.524174215708817,51.08111911869619,-2.6897750095608433,14.175340885816988,22.58574590758842,16.80967791933583,-5.130493548567443,12.618686390168936,25.561119585069783,1.4956393813655091,-1.316607801133245,clap
clap,(101).wav,2224.8002183245535,0.00141236192516772,4658.933843568314,0.1490734011627907,-610.5235176305811,101.5098208282365,-81.04657008672449,-23.512759528916003,-66.01287500909656,24.605814460490212,-56.38261685807897,-13.351939627668605,-30.25923534696046,-5.224484453992628,-16.138139107004005,-30.07878409762094,-4.2368836189684735,clap
clap,(102).wav,1275.8234576323084,0.004507420491360658,1788.1122935901988,0.08468905362215909,-518.5688380749497,165.98271958120512,-46.99800171520403,-47.874392811867594,-24.953284652774155,-3.947730644107814,-17.92881831948287,-21.016032213575247,-14.468609480084426,-2.5276881564096834,-7.69805600509136,-14.593244872255632,-6.349582515468967,clap
clap,(103).wav,1714.381203875355,0.01282190249080075,2423.2453469669117,0.10413602941176471,-432.2220675456174,129.82439392233186,-50.02637103507826,-47.796799208020886,-11.015266988319606,3.74311648706398,-18.755981026147005,-20.206380127862037,-13.76574111092935,4.4816096197033675,-10.930766037205766,-16.472869459531434,-0.8201469482223854,clap
clap,(104).wav,2428.1894405220833,0.0009603619129530105,4954.730224609375,0.167236328125,-670.6721178529431,86.68748364869563,-77.85412913723616,-21.23138787860353,-64.3857436219843,24.989047372926716,-53.54279674752618,-10.960030498878833,-10.526352617195895,-5.404007343481916,-16.2770180160849,-17.416899605285497,-1.9351775962580495,clap
clap,(105).wav,1434.0932102521742,0.0036105275636877836,2278.300187394426,0.07966242609797297,-537.3028131420782,147.47517617255932,-41.34406914144398,-22.593132362026868,-23.249758236263823,-1.0522718921190553,-24.610374881444567,-17.51806084081875,-3.6616339914358083,-4.348937899029615,-12.374544311916189,-9.101615506665434,-7.96093719024166,clap
clap,(106).wav,1847.2419433852458,0.008416188572650331,3232.710029709507,0.09929990096830986,-469.25948730153976,122.39553453986487,-31.920048745084642,-26.7061667514376,-5.355577279007646,13.65696863836911,-13.088358716855375,-8.334881970742476,-4.820039260289986,4.689605853898037,-10.695386443258753,-7.581555888395947,0.9652899837410495,clap
clap,(107).wav,1855.0371269692635,0.00018793776538008703,4032.193856869104,0.07829083136792453,-851.3580400748071,95.04538595802379,-0.456060213322181,30.843263378527485,-45.234580807295025,25.312893322734574,-20.748234746443355,-6.354201940603556,-26.134034125572118,-14.402162746066368,-8.893485631054874,-29.88949413992421,-11.954591041909728,clap
clap,(108).wav,996.168602179671,0.001254147500001864,1644.3133903952205,0.039588120404411765,-722.3096039851737,130.36941822208,31.319490240191115,26.311901298202987,18.049420091739506,24.1193895128132,-2.329297313102003,-5.484199820223957,-10.72709430654561,1.9258569265961836,-4.659920857602965,-9.349803368295529,3.449398196798226,clap
clap,(109).wav,1250.1861808209478,0.0010101409953958904,2360.229061351103,0.047860179227941176,-694.5890159420737,118.16772013850543,30.023149816637112,28.317818330449573,10.04955033706472,18.136377486716167,0.8283379410835958,5.858157446073843,-2.00352260447449,10.251350037001627,-9.720585134753998,-23.119670481253333,-8.074074731585482,clap
clap,(11).wav,1308.4511413338269,0.005048483687453029,2534.631878396739,0.07680876358695653,-708.590406184539,53.68881116678376,-2.663640905194266,15.604903243405127,-12.714273201902065,-3.576000354217977,-2.696174580782124,-2.8550615134247055,-5.267237567541504,2.296361538406876,-4.732681823595302,-3.6176451942385337,-1.0071982560514248,clap
clap,(110).wav,3266.36753857875,0.0035505235027166043,5984.94637865539,0.24851723767201836,-528.865832192483,46.16549487407504,-68.4567568749622,-7.415848752176126,-74.07427937894424,17.187206447834946,-41.38346061562551,-0.9870244762221332,-17.806730101057422,-8.992711153531209,-16.33902483160701,-20.904512332773713,2.3145691184839956,clap
clap,(111).wav,1896.9526257037799,0.013433458752880755,3575.846421423037,0.09648598915289257,-404.5896967193835,110.50900323344412,-35.86893254289253,-17.152584678794675,-42.72148957166436,-5.806955620838027,-14.788113446710883,-8.325369019991458,-5.849062179479081,-4.890589054513062,-7.581118860972229,-2.3755662556550052,0.05032820388726217,clap
clap,(112).wav,2487.5174682500233,0.014229486312488548,5002.3766383651855,0.1325744124483471,-359.95928630050463,82.50237000926424,-33.24508609751363,-9.280059619026927,-33.9604325808958,2.6779946068370877,-11.479355928898057,-6.64000442105039,-1.9917630577379926,2.8519634638685813,-9.442318934223637,-1.7938634742976864,3.7974471182961764,clap
clap,(113).wav,3103.1118823352085,0.0025383716288886913,5923.624674479167,0.21764684606481483,-565.1388716454927,63.58142035076602,-47.89659951989041,6.415565717746499,-84.4842002375595,1.9386920235799399,-52.17050237437312,8.022229861159323,-19.390262452920677,-22.055034418887104,-19.4434996980324,-12.91658785006927,8.79400334733384,clap
clap,(114).wav,1657.7285195033035,0.010792751756628645,3139.7603352864585,0.07708514178240741,-433.37233765008887,123.71218166738885,-8.132312374230809,-7.52468989748295,-42.25197407751205,-13.821472393715434,-18.802164543940346,1.4202894034881741,-3.614978308960549,-11.563215522941958,-12.517551876174084,-0.027066233998713427,3.550050509043029,clap
clap,(115).wav,2257.781979654185,0.0161685544292684,4860.821533203125,0.1118435329861111,-398.01949530450645,89.3035970497205,-14.5382930990889,-10.971279623991746,-44.94975347585332,-17.714283752289834,-18.286892297811594,-3.3178234113344844,4.195056343389472,-7.246550984474556,-19.605887963665072,2.7029033048012328,5.235326731236089,clap
clap,(116).wav,2883.0124048127386,0.0033329000027465666,5605.880916819853,0.21890956903594772,-566.0575502156327,62.786093460254726,-75.85593902104281,-13.70327071730434,-71.53333224256868,18.859213427112874,-44.50651772555149,2.890758027443822,-18.91006493549936,-5.704579461673252,-7.35478290446312,-14.341114057165232,-2.574112087248408,clap
clap,(117).wav,1730.3927649474867,0.014445544330699894,2897.7439831149195,0.09711756552419355,-432.8825830414031,117.16500729239567,-42.75661042594844,-41.72203935105823,-30.897958113835685,-0.7357510695081179,-11.025526431760012,-9.326789673932396,-8.088632771474321,-7.765216703106331,-6.965219617240656,-0.6174880143549577,-11.402651031205222,clap
clap,(118).wav,2125.52017812734,0.019114062795995767,4079.4233842329545,0.11969549005681818,-390.6869394176498,100.92466306531682,-36.8641026471006,-26.454213091128835,-19.21594230751994,-1.1747278199692472,-8.081746529833493,-3.47843963111295,-5.390740175477744,7.345898541541753,-9.817679532076511,4.792962946711369,-4.419562503556355,clap
clap,(119).wav,3146.7683655535307,0.005318089424884785,5714.724864130435,0.24258555536684784,-467.52191818251146,49.4400077166442,-116.02115458749928,-0.3492594940516332,-74.93328628380748,30.623149872024253,-54.99697756459085,-0.1305253782783986,-23.8572019579056,-4.2947058272856085,-6.376805961798135,-13.403975072018818,6.6689383572811485,clap
clap,(12).wav,2221.069044231259,0.010539855951441806,4122.5830078125,0.14704905399659865,-566.0924112551149,55.05405005331621,-15.686933825948874,18.74692311416924,-1.7537798894276966,11.806013916775333,-6.283224585911889,2.573225393116882,0.7896238880771995,1.7915547908920706,1.3986732795704844,-3.369484296022398,-2.485576738114019,clap
clap,(120).wav,1797.198973509445,0.01693817627767926,2996.9771675441575,0.09842051630434782,-337.1439844688275,122.91493407431952,-61.86394792255508,-16.25679839065715,-24.220161144787475,7.6139617952061425,-9.547548846418803,-6.462931656226375,2.8884818446731146,4.606775547387612,2.616763923801073,2.0339093179033414,2.2117603172781735,clap
clap,(121).wav,2475.6048958036235,0.025821176903913615,4751.114024286685,0.14124596637228262,-279.1578714403307,79.209008644562,-61.51501390052768,-17.16405632076673,-19.070947007371704,5.222457780051666,-14.54755508745023,-2.383120769113132,-3.7062365024361243,13.691824285008265,-0.06537418416565109,4.914542164118146,7.227636148829096,clap
clap,(122).wav,3881.2837054357933,0.003849923381810892,6115.883018092105,0.34772306743421055,-538.8328917120883,16.849007955830402,-95.8344933944967,13.363975736413357,-71.26698716305458,23.546004143257928,-58.0872804110873,13.728547189889037,-18.704430052395956,-10.121417766402061,-4.88983443515161,-9.69976246045005,3.608299132894613,clap
clap,(123).wav,3368.504101339526,0.014818715835354766,6310.588507401316,0.21533203125,-348.7993707543207,41.31260514087226,-43.80155757615549,-11.410570992556599,-19.093642587123277,-7.766948243708563,-26.427098687300067,0.5931911223578323,-8.498361349685464,-9.068927334881366,-6.647232689395026,1.4236333917065587,-3.8058799754287396,clap
clap,(124).wav,3241.7664616193333,0.020460402341950276,6114.409693667763,0.21400082236842105,-337.74579265938485,44.86500094365548,-46.168418070565544,-5.135313304311792,-6.258784593487548,6.176532666578228,-25.855484262861317,2.425462078319885,-2.0455700077605408,-1.7277576773912136,-6.831115900600277,5.64255614983929,-2.574528230307787,clap
clap,(125).wav,3744.3700575595294,0.008518022496026923,5913.635858214728,0.33095799814356436,-478.91831717676564,8.764306994663817,-105.87870941043863,16.77188063391559,-73.11341682955059,15.422491600802473,-51.30548213619848,8.937349508636045,-22.186056985980603,-6.227901461772373,-10.465140831570732,-13.834148311757628,4.928526905701232,clap
